,Gas Meter Temperature_x,Line Pressure_x,Position_x,Tubing Pressure_x,Reservoir Pressure_x,Junction pressure,Gas Meter Flow Rate_x,pred_gas_flow_x,date,Gas Meter Temperature_y,Line Pressure_y,Position_y,Tubing Pressure_y,Reservoir Pressure_y,Gas Meter Flow Rate_y,pred_gas_flow_y,actual_combined_gas_flow,pred_combined_gas_flow
10,98.24,526.5,54.2,735.74994,1233.9773,493.6381,16209.51,16352.691,2023-03-26 01:47:00,90.490005,521.37,45.88,835.55,1719.6742,15281.51,15051.752,31491.02,31404.443
11,98.23,526.5,52.41,735.18994,1233.9773,494.02274,16241.85,16289.447,2023-03-26 01:57:00,90.479996,521.72003,45.47,835.31,1719.6742,15198.579,15006.89,31440.43,31296.336
12,98.23,527.06,53.41,731.81006,1233.9773,494.34387,16138.379,16329.742,2023-03-26 02:07:00,90.55,522.19,45.41,835.89996,1719.6742,15249.739,15045.47,31388.117,31375.21
13,98.19,528.19,52.36,730.13007,1233.9773,494.77222,16288.09,16347.292,2023-03-26 02:17:00,90.46,521.84,46.09,835.66,1719.6742,15266.319,14986.642,31554.41,31333.934
14,98.21001,526.77997,52.32,731.53,1233.9773,494.58597,16255.08,16253.158,2023-03-26 02:27:00,90.43,522.54,46.2,834.49005,1719.6742,15223.149,15025.902,31478.23,31279.06
15,98.2,528.75,53.260002,731.25006,1233.9773,494.74167,16276.791,16393.084,2023-03-26 02:37:00,90.46,521.72003,45.36,836.02,1719.6742,15133.939,15032.934,31410.73,31426.018
16,98.13,527.63,54.02,730.13007,1233.9773,494.09943,16171.52,16380.536,2023-03-26 02:47:00,90.47,521.13,45.53,835.2,1719.6742,15244.83,15013.489,31416.35,31394.025
17,98.17,528.19,53.82,730.13007,1233.9773,495.00247,16247.421,16395.94,2023-03-26 02:57:00,90.44,522.19,45.63,835.08,1719.6742,15209.01,14944.111,31456.43,31340.05
18,98.03,528.19,53.29,731.53,1233.9773,494.8729,16277.801,16281.83,2023-03-26 03:07:00,90.37,521.95,45.52,835.55,1719.6742,15277.08,15016.999,31554.88,31298.828
19,97.99999,527.06,53.68,727.03,1233.9773,494.0068,16231.72,16383.759,2023-03-26 03:17:00,90.35999,521.37,45.350002,834.73,1719.6742,15207.209,15003.324,31438.93,31387.082
20,97.950005,527.63,52.18,731.81006,1233.9773,494.8791,16207.62,16372.289,2023-03-26 03:27:00,90.299995,523.01,45.74,836.13,1719.6742,15273.0,15027.648,31480.621,31399.938
21,97.99,528.47,53.68,734.62994,1233.9773,494.89908,16328.17,16327.775,2023-03-26 03:37:00,90.340004,521.84,45.510002,834.49005,1719.6742,15249.961,14997.9795,31578.13,31325.754
22,97.96,529.59,52.26,735.74994,1233.9773,495.83655,16229.15,16276.983,2023-03-26 03:47:00,90.37,522.89,45.87,836.72,1719.6742,15190.15,15020.331,31419.3,31297.314
23,97.909996,527.63,52.99,731.53,1233.9773,494.31375,16332.94,16430.219,2023-03-26 03:57:00,90.31,521.95,45.97,835.66,1719.6742,15267.09,15018.885,31600.031,31449.104
24,97.909996,528.19,52.67,725.63007,1233.9773,494.51923,16391.37,16351.746,2023-03-26 04:07:00,90.240005,521.25,45.65,835.2,1719.6742,15229.601,14982.372,31620.969,31334.117
25,97.9,528.19,52.690002,731.53,1233.9773,494.8121,16271.36,16427.418,2023-03-26 04:17:00,90.29,522.54,46.030003,836.72,1719.6742,15250.48,15018.419,31521.84,31445.836
26,97.86,528.19,52.16,732.38007,1233.9773,494.19232,16268.8,16474.389,2023-03-26 04:27:00,90.240005,521.37,46.21,834.83997,1719.6742,15281.699,15011.28,31550.5,31485.668
27,97.84,528.47,54.2,730.69006,1233.9773,495.43222,16256.45,16384.463,2023-03-26 04:37:00,90.35999,523.24,45.36,835.66,1719.6742,15245.159,15012.164,31501.61,31396.627
28,97.78001,527.91,52.21,729.00006,1233.9773,495.3556,16300.61,16370.147,2023-03-26 04:47:00,90.270004,523.71,45.54,836.02,1719.6742,15269.079,15026.507,31569.69,31396.654
29,97.78001,528.19,54.21,731.53,1233.9773,495.11462,16273.329,16367.696,2023-03-26 04:57:00,90.229996,522.77,46.11,836.83997,1719.6742,15208.03,14998.652,31481.36,31366.348
30,97.74,527.91,54.2,732.09,1233.9773,494.80457,16194.43,16408.986,2023-03-26 05:07:00,90.29,522.66,45.44,834.61,1719.6742,15229.909,15034.751,31424.34,31443.738
31,97.72,528.19,53.510002,733.50006,1233.9773,495.2717,16282.26,16367.1045,2023-03-26 05:17:00,90.299995,523.01,45.57,835.77997,1719.6742,15256.16,14981.652,31538.42,31348.758
32,97.73,528.75,53.97,730.97003,1233.9773,495.51242,16270.579,16303.631,2023-03-26 05:27:00,90.2,522.77,45.54,836.13,1719.6742,15257.129,14992.288,31527.707,31295.918
33,97.70999,528.47,54.2,730.69006,1232.9293,495.05527,16325.18,16350.867,2023-03-26 05:37:00,90.25,522.54,45.84,836.25,1717.554,15295.699,15015.399,31620.879,31366.266
34,97.73,527.63,52.75,730.97003,1232.9293,494.29694,16324.879,16329.34,2023-03-26 05:47:00,90.31,521.72003,46.24,834.02,1717.554,15240.421,15037.594,31565.3,31366.934
35,97.700005,527.63,52.38,732.38007,1232.9293,494.23148,16310.69,16371.054,2023-03-26 05:57:00,90.19,521.95,46.170002,835.2,1717.554,15284.03,15052.817,31594.72,31423.871
36,97.67,529.03,52.29,731.81006,1232.9293,494.90375,16294.63,16361.9,2023-03-26 06:07:00,90.19,521.84,45.95,836.95,1717.554,15240.921,15001.925,31535.55,31363.824
37,97.689995,528.19,53.510002,732.38007,1232.9293,494.99466,16390.12,16365.279,2023-03-26 06:17:00,90.16,522.89,45.480003,835.31,1717.554,15251.31,15038.257,31641.43,31403.535
38,97.70999,528.75,53.890003,730.69006,1232.9293,495.0116,16285.08,16357.47,2023-03-26 06:27:00,90.329994,522.19,45.37,834.14,1717.554,15272.511,15023.888,31557.59,31381.357
39,97.66,528.47,52.58,730.69006,1232.9293,494.68387,16300.46,16436.068,2023-03-26 06:37:00,90.240005,522.19,46.300003,835.08,1717.554,15200.76,15021.309,31501.219,31457.377
40,97.66,527.63,52.85,730.13007,1232.9293,494.35315,16216.08,16346.244,2023-03-26 06:47:00,90.2,521.95,45.600002,836.37006,1717.554,15239.261,15030.075,31455.34,31376.32
41,97.65,529.31,52.71,730.13007,1232.9293,495.6133,16356.0205,16347.565,2023-03-26 06:57:00,90.19,522.77,46.26,835.66,1717.554,15207.67,14976.011,31563.691,31323.576
42,97.63999,529.31,53.97,731.25006,1232.9293,495.41284,16249.7,16276.662,2023-03-26 07:07:00,90.29,522.19,45.760002,834.96,1717.554,15263.7,15014.28,31513.4,31290.941
43,97.63999,528.75,53.61,728.16003,1232.9293,495.47693,16222.329,16422.25,2023-03-26 07:17:00,90.21001,523.24,46.27,836.13,1717.554,15195.56,14976.125,31417.889,31398.375
44,97.63999,529.03,52.29,728.72003,1232.9293,495.46594,16276.55,16302.397,2023-03-26 07:27:00,90.16,522.77,46.190002,836.25,1717.554,15235.219,15015.465,31511.77,31317.863
45,97.58,528.19,53.52,733.50006,1232.9293,494.98877,16240.69,16275.205,2023-03-26 07:37:00,90.31,522.19,45.85,835.77997,1717.554,15291.55,14979.867,31532.24,31255.072
46,97.619995,529.59,52.43,728.72003,1232.9293,495.5425,16316.55,16325.123,2023-03-26 07:47:00,90.15,522.42,45.74,835.77997,1717.554,15213.931,15001.229,31530.48,31326.352
47,97.630005,528.19,54.11,731.25006,1232.9293,494.82397,16346.5,16308.741,2023-03-26 07:57:00,90.12,522.3,45.64,835.89996,1717.554,15265.659,15041.51,31612.16,31350.25
48,97.61,527.33997,53.960003,729.28,1232.9293,494.6246,16357.899,16392.678,2023-03-26 08:07:00,90.14,522.66,45.37,835.66,1717.554,15187.349,14989.193,31545.248,31381.871
49,97.689995,527.06,52.32,733.77997,1232.9293,494.05267,16328.45,16388.834,2023-03-26 08:17:00,90.13,522.07,45.590004,836.48,1717.554,15276.67,15023.154,31605.121,31411.988
50,97.61,526.77997,52.2,730.13007,1232.9293,494.3444,16259.12,16413.59,2023-03-26 08:27:00,90.22,522.66,46.25,834.83997,1717.554,15228.461,14976.91,31487.582,31390.5
51,97.560005,524.25,53.320004,726.75006,1232.9293,493.07584,16349.39,16427.719,2023-03-26 08:37:00,90.18,522.66,46.06,835.66,1717.554,15233.319,15036.115,31582.709,31463.834
52,97.619995,527.63,52.36,729.56006,1232.9293,495.00854,16274.739,16317.733,2023-03-26 08:47:00,90.18,523.01,46.289997,836.02,1717.554,15232.289,14992.883,31507.027,31310.617
53,97.65,531.84,52.62,728.72003,1232.9293,496.74625,16341.29,16381.723,2023-03-26 08:57:00,90.22,523.13,46.149998,834.73,1717.554,15235.51,15000.999,31576.8,31382.723
54,97.67,528.19,54.16,730.97003,1232.9293,495.16333,16200.83,16343.286,2023-03-26 09:07:00,90.25,522.89,46.07,835.2,1717.554,15234.5,15003.397,31435.33,31346.684
55,97.63999,529.03,53.47,731.25006,1232.9293,495.69476,16387.07,16391.957,2023-03-26 09:17:00,90.14,523.48,45.41,835.31,1717.554,15211.949,14999.542,31599.02,31391.5
56,97.67,527.91,53.14,727.03,1232.9293,495.06238,16285.989,16280.469,2023-03-26 09:27:00,90.229996,522.66,46.31,835.55,1717.554,15255.329,15002.925,31541.318,31283.395
57,97.66,528.47,54.2,729.56006,1232.9293,493.47467,16327.7705,16455.754,2023-03-26 09:37:00,90.13,519.61,45.38,834.83997,1717.554,15260.63,15011.051,31588.4,31466.805
58,97.689995,527.91,53.52,727.88007,1232.9293,494.80005,16289.78,16362.01,2023-03-26 09:47:00,90.18,522.54,45.579998,835.66,1717.554,15212.88,15018.449,31502.66,31380.459
59,97.68,528.47,52.24,730.97003,1232.9293,495.07272,16348.05,16371.474,2023-03-26 09:57:00,90.2,522.77,45.38,835.55,1717.554,15291.83,15021.953,31639.879,31393.426
60,97.66,527.33997,53.37,732.09,1232.9293,494.04297,16327.739,16350.41,2023-03-26 10:07:00,90.2,521.37,46.129997,834.96,1717.554,15254.88,15000.682,31582.62,31351.092
61,97.689995,526.5,53.440002,726.19006,1232.9293,493.45895,16365.88,16437.451,2023-03-26 10:17:00,90.17,521.48004,46.23,834.83997,1717.554,15211.799,15056.292,31577.68,31493.742
62,97.700005,526.22,52.27,726.19006,1232.9293,492.92703,16336.759,16407.275,2023-03-26 10:27:00,90.18,520.43,45.43,834.96,1717.554,15200.0,15038.502,31536.758,31445.777
63,97.689995,527.33997,52.32,731.81006,1232.9293,493.6663,16260.79,16413.715,2023-03-26 10:37:00,90.11,520.89996,45.719997,835.55,1717.554,15170.61,14998.1,31431.4,31411.814
64,97.68,527.63,53.890003,729.00006,1232.9293,493.93262,16048.22,16412.008,2023-03-26 10:47:00,90.16,521.02,45.95,835.31,1717.554,15238.569,14990.902,31286.79,31402.91
65,97.67,528.19,54.13,730.69006,1232.9293,495.30853,16128.83,16330.822,2023-03-26 10:57:00,90.21001,522.89,45.41,834.73,1717.554,15257.16,14964.118,31385.99,31294.941
66,97.759995,528.47,53.52,728.72003,1232.9293,496.23062,16314.689,16134.411,2023-03-26 11:07:00,90.229996,523.95,46.020004,836.13,1717.554,15232.541,14993.084,31547.23,31127.496
67,97.81,529.59,52.800003,728.44006,1232.9293,496.54303,16157.18,16195.274,2023-03-26 11:17:00,90.25,523.95,45.38,835.77997,1717.554,15193.181,15009.476,31350.36,31204.75
68,97.850006,530.44,53.98,733.77997,1232.9293,496.9572,16168.029,16355.616,2023-03-26 11:27:00,90.329994,524.64996,45.510002,835.66,1717.554,15230.34,14990.254,31398.37,31345.871
69,97.850006,530.72003,54.16,724.78,1232.9293,497.2871,16097.93,16244.264,2023-03-26 11:37:00,90.31,524.3,46.289997,835.66,1717.554,15229.42,14961.518,31327.35,31205.781
70,97.81,529.88,53.11,725.91003,1232.9293,497.10678,16156.31,16242.829,2023-03-26 11:47:00,90.32,524.88,46.300003,836.37006,1717.554,15200.089,14980.29,31356.398,31223.12
71,97.83,529.03,52.93,730.41003,1232.9293,496.57666,16138.57,16164.406,2023-03-26 11:57:00,90.259995,524.3,46.22,835.43005,1717.554,15187.82,14989.062,31326.39,31153.469
72,97.79,529.88,54.02,725.91003,1232.9293,496.729,16204.64,16241.164,2023-03-26 12:07:00,90.259995,523.95,45.82,835.2,1717.554,15199.09,14972.563,31403.73,31213.727
73,97.8,527.33997,52.7,725.91003,1232.9293,495.12762,16137.4,16228.299,2023-03-26 12:17:00,90.299995,522.89,45.84,834.73,1717.554,15237.24,14977.591,31374.64,31205.89
74,97.77,527.06,53.199997,725.34,1232.9293,494.7414,16286.53,16298.949,2023-03-26 12:27:00,90.259995,522.66,46.04,834.83997,1717.554,15181.07,14985.396,31467.602,31284.346
75,97.75,525.38,54.2,726.47003,1232.9293,494.31378,16160.83,16252.957,2023-03-26 12:37:00,90.25,523.24,45.38,835.77997,1717.554,15270.1,15005.086,31430.93,31258.043
76,97.78001,529.03,52.690002,727.88007,1232.9293,496.1363,16207.1,16347.412,2023-03-26 12:47:00,90.229996,523.95,45.760002,835.31,1717.554,15244.539,14959.698,31451.639,31307.11
77,97.78001,528.75,52.31,723.94006,1232.9293,495.73178,16182.439,16242.893,2023-03-26 12:57:00,90.28,523.24,46.18,835.08,1717.554,15221.0,15027.637,31403.44,31270.53
78,97.78001,529.03,52.760002,726.47003,1232.9293,495.76266,16234.96,16278.885,2023-03-26 13:07:00,90.28,523.13,45.43,835.43005,1717.554,15199.859,15009.775,31434.82,31288.66
79,97.759995,526.5,54.2,730.97003,1232.9293,494.14233,16245.9795,16269.825,2023-03-26 13:17:00,90.29,521.95,46.289997,834.83997,1717.554,15211.08,15005.725,31457.059,31275.55
80,97.75,528.19,53.29,728.72003,1232.9293,495.64557,16175.4,16306.775,2023-03-26 13:27:00,90.22,523.59,46.27,835.31,1717.554,15161.52,14974.328,31336.92,31281.104
81,97.74,527.91,54.070004,725.34,1232.9293,494.84348,16127.31,16340.978,2023-03-26 13:37:00,90.21001,522.3,45.460003,835.89996,1717.554,15198.4,14988.219,31325.71,31329.195
82,97.75,527.91,52.739998,727.59,1232.9293,495.1324,16271.0,16251.633,2023-03-26 13:47:00,90.12,522.42,45.57,834.61,1717.554,15210.631,14958.938,31481.63,31210.57
83,97.759995,527.63,53.86,723.09,1232.9293,495.08752,16170.399,16238.576,2023-03-26 13:57:00,90.270004,522.54,45.74,835.31,1717.554,15219.4,14982.354,31389.8,31220.93
84,97.75,527.91,53.34,723.94006,1232.9293,495.2046,16250.95,16362.733,2023-03-26 14:07:00,90.270004,523.13,45.559998,834.61,1717.554,15208.991,14992.765,31459.941,31355.498
85,97.77,529.03,52.48,726.47003,1232.9293,495.93558,16240.12,16241.434,2023-03-26 14:17:00,90.28,523.24,46.190002,834.96,1717.554,15186.15,14992.731,31426.27,31234.164
86,97.78001,527.63,52.95,724.78,1232.9293,495.00278,16108.399,16338.58,2023-03-26 14:27:00,90.229996,522.89,46.21,834.61,1717.554,15232.78,14990.875,31341.18,31329.455
87,97.78001,528.47,53.93,726.75006,1232.9293,495.3841,16193.859,16325.078,2023-03-26 14:37:00,90.259995,522.77,46.14,833.91,1717.554,15204.24,14980.226,31398.1,31305.305
88,97.759995,527.91,52.49,726.19006,1232.9293,495.24234,16361.971,16192.692,2023-03-26 14:47:00,90.229996,522.66,45.54,835.55,1717.554,15203.939,15003.068,31565.91,31195.762
89,97.72,526.5,53.920002,723.94006,1232.9293,494.32373,16229.15,16304.978,2023-03-26 14:57:00,90.240005,522.3,46.24,833.79,1717.554,15239.11,14997.963,31468.262,31302.941
90,97.70999,529.03,53.890003,726.19006,1232.9293,495.8881,16200.62,16438.451,2023-03-26 15:07:00,90.2,523.83,45.67,834.02,1717.554,15191.76,14984.978,31392.379,31423.43
91,97.8,529.03,54.13,725.06006,1232.9293,495.67145,16179.289,16320.13,2023-03-26 15:17:00,90.2,523.01,45.43,835.77997,1717.554,15235.83,15002.594,31415.12,31322.723
92,97.78001,528.75,54.21,728.16003,1232.9293,495.92404,16291.199,16283.105,2023-03-26 15:27:00,90.22,523.48,45.920002,835.43005,1717.554,15160.98,14968.536,31452.18,31251.64
93,97.78001,528.47,54.059998,727.03,1232.9293,495.35107,16248.25,16268.089,2023-03-26 15:37:00,90.28,522.66,46.149998,834.73,1717.554,15245.399,15010.156,31493.648,31278.246
94,97.78001,529.88,53.02,723.94006,1232.9293,496.01883,16246.759,16365.662,2023-03-26 15:47:00,90.22,522.89,45.8,835.89996,1717.554,15228.38,14947.006,31475.139,31312.668
95,97.77,528.19,52.55,724.78,1232.9293,495.189,16261.59,16327.764,2023-03-26 15:57:00,90.229996,522.89,46.300003,835.2,1717.554,15143.391,15011.398,31404.98,31339.162
96,97.77,527.91,54.21,727.03,1232.9293,494.86798,16185.501,16336.912,2023-03-26 16:07:00,90.240005,522.42,46.07,834.38,1717.554,15256.369,15009.071,31441.871,31345.984
97,97.8,527.33997,53.57,728.44006,1232.9293,494.51624,16280.65,16342.969,2023-03-26 16:17:00,90.21001,521.95,45.53,834.83997,1717.554,15230.45,14951.008,31511.102,31293.977
98,97.72,529.03,53.280003,725.63007,1232.9293,495.89496,16235.2,16266.441,2023-03-26 16:27:00,90.21001,523.36,45.43,835.89996,1717.554,15253.4795,15011.674,31488.68,31278.115
99,97.73,529.03,52.680004,729.56006,1232.9293,495.1823,16184.931,16334.219,2023-03-26 16:37:00,90.21001,522.19,46.129997,834.83997,1717.554,15191.62,15006.85,31376.55,31341.068
100,97.75,529.88,53.95,729.28,1232.9293,496.00882,16160.391,16300.317,2023-03-26 16:47:00,90.22,523.01,45.590004,834.83997,1717.554,15161.289,15018.108,31321.68,31318.426
101,97.78001,528.19,53.94,727.59,1232.9293,495.70322,16240.63,16271.647,2023-03-26 16:57:00,90.29,523.48,45.780003,835.89996,1717.554,15141.819,14967.816,31382.45,31239.465
102,97.84,528.19,52.24,727.03,1232.9293,495.57733,16237.961,16234.222,2023-03-26 17:07:00,90.259995,523.01,45.54,835.2,1717.554,15209.42,14954.071,31447.38,31188.293
103,97.8,529.31,54.16,727.31006,1232.9293,496.2474,16310.84,16320.226,2023-03-26 17:17:00,90.28,523.59,45.890003,834.73,1717.554,15199.2705,14938.82,31510.11,31259.047
104,97.82,527.63,53.84,724.22003,1232.9293,495.02682,16303.471,16338.683,2023-03-26 17:27:00,90.25,522.89,45.760002,835.2,1717.554,15220.47,14988.657,31523.941,31327.34
105,97.84,529.88,52.86,726.47003,1232.9293,496.25558,16259.62,16373.504,2023-03-26 17:37:00,90.259995,523.59,45.41,834.14,1717.554,15198.679,14983.137,31458.299,31356.64
106,97.84,527.33997,53.37,723.94006,1232.9293,494.691,16343.899,16399.732,2023-03-26 17:48:00,90.28,522.77,45.39,833.55,1717.554,15201.98,15010.485,31545.879,31410.219
107,97.979996,528.75,53.58,727.88007,1232.9293,495.44733,16240.6,16336.892,2023-03-26 17:57:00,90.39,522.77,45.38,834.83997,1717.554,15142.819,14987.272,31383.418,31324.164
108,97.96,528.75,53.3,725.63007,1232.9293,494.8176,16416.39,16423.668,2023-03-26 18:07:00,90.38,521.84,45.38,832.62,1717.554,15165.91,15010.507,31582.3,31434.176
109,98.020004,527.33997,52.640003,725.06006,1232.9293,494.8476,16269.81,16330.57,2023-03-26 18:17:00,90.39,522.54,46.190002,832.5,1717.554,15179.4,14965.192,31449.21,31295.762
110,98.090004,528.19,54.21,726.75006,1232.9293,494.7278,16312.831,16505.889,2023-03-26 18:27:00,90.44,522.3,46.07,835.08,1717.554,15205.709,14966.716,31518.54,31472.605
111,98.11,527.91,53.42,723.94006,1232.9293,494.39804,16293.811,16368.962,2023-03-26 18:37:00,90.409996,521.37,45.719997,833.55,1717.554,15158.82,14991.91,31452.63,31360.871
112,97.99999,526.77997,52.420002,726.75006,1232.9293,493.8763,16284.43,16394.031,2023-03-26 18:47:00,90.240005,521.60004,45.43,834.02,1717.554,15180.119,15003.946,31464.549,31397.977
113,98.16,526.77997,54.15,724.78,1232.9293,494.23337,16148.359,16405.588,2023-03-26 18:57:00,90.340004,522.07,46.26,833.32,1717.554,15188.01,14973.346,31336.37,31378.934
114,98.16,527.33997,53.35,725.34,1232.9293,494.34808,16346.02,16381.299,2023-03-26 19:07:00,90.46,521.84,45.69,833.91,1717.554,15190.53,14989.046,31536.55,31370.344
115,98.19,526.5,54.179996,728.16003,1232.9293,494.0397,16202.34,16260.048,2023-03-26 19:17:00,90.340004,521.48004,45.8,833.79,1717.554,15160.999,14994.857,31363.34,31254.906
116,98.28999,528.19,52.219997,725.34,1232.9293,494.23486,16296.74,16425.18,2023-03-26 19:27:00,90.55,521.13,46.27,832.85,1717.554,15163.03,15007.8,31459.77,31432.98
117,98.380005,526.5,53.86,723.66003,1232.9293,493.35623,16229.3,16331.384,2023-03-26 19:37:00,90.44,520.2,45.579998,833.91,1717.554,15203.96,14986.27,31433.26,31317.652
118,98.13,526.77997,52.980003,723.38,1232.9293,493.9298,16212.64,16400.506,2023-03-26 19:47:00,90.37,521.48004,45.590004,833.08997,1717.554,15197.05,14983.773,31409.69,31384.28
119,98.28999,529.03,52.190002,725.63007,1232.9293,495.0371,16346.09,16306.033,2023-03-26 19:57:00,90.44,521.60004,45.989998,834.73,1717.554,15231.9,14998.189,31577.99,31304.223
120,98.380005,525.94,52.170002,721.97003,1232.9293,493.70718,16229.01,16327.179,2023-03-26 20:07:00,90.53,521.60004,45.52,833.32,1717.554,15217.779,15009.629,31446.79,31336.809
121,98.35999,526.22,53.39,726.47003,1232.9293,493.56995,16340.21,16448.338,2023-03-26 20:17:00,90.490005,521.72003,46.160004,834.14,1717.554,15199.589,15025.567,31539.799,31473.906
122,98.35999,525.09,52.149998,725.06006,1232.9293,493.3102,16177.569,16335.651,2023-03-26 20:27:00,90.42,521.72003,45.98,834.61,1717.554,15215.7,15012.132,31393.27,31347.783
123,98.32,527.63,53.52,721.69006,1232.9293,493.9268,16204.18,16454.016,2023-03-26 20:37:00,90.42,521.02,45.88,833.91,1717.554,15206.09,15006.273,31410.27,31460.29
124,98.28999,524.53,53.8,724.22003,1232.9293,492.47223,16301.359,16312.621,2023-03-26 20:47:00,90.55,520.31,45.47,832.62,1717.554,15193.22,15037.414,31494.578,31350.035
125,98.37,526.77997,52.47,723.94006,1232.9293,494.0242,16305.109,16308.961,2023-03-26 20:57:00,90.54,521.48004,45.77,834.02,1717.554,15179.01,15010.556,31484.12,31319.516
126,98.47,527.63,54.1,725.06006,1232.9293,493.65955,16328.21,16415.404,2023-03-26 21:07:00,90.479996,520.31,45.760002,833.2,1717.554,15134.881,15012.486,31463.09,31427.89
127,98.439995,525.94,53.550003,722.81006,1232.9293,493.2811,16208.301,16429.64,2023-03-26 21:17:00,90.55,521.02,46.18,832.85,1717.554,15179.25,15003.108,31387.55,31432.75
128,98.47,525.94,53.18,722.53,1232.9293,493.14435,16269.52,16449.467,2023-03-26 21:27:00,90.490005,520.66,45.49,834.02,1717.554,15207.44,14967.161,31476.96,31416.629
129,98.5,527.33997,53.87,722.81006,1232.9293,493.5614,16403.52,16341.767,2023-03-26 21:37:00,90.490005,519.96,45.510002,833.08997,1717.554,15183.21,15006.3545,31586.73,31348.121
130,98.509995,526.5,52.63,720.84,1232.9293,493.7715,16246.34,16390.713,2023-03-26 21:47:00,90.509995,521.48004,45.44,833.79,1717.554,15213.061,15013.815,31459.4,31404.527
131,98.53,526.77997,53.39,725.63007,1232.9293,493.51413,16221.75,16508.328,2023-03-26 21:57:00,90.509995,521.13,46.160004,833.44,1717.554,15134.101,15000.035,31355.852,31508.363
132,98.55,527.06,53.02,724.22003,1232.9293,494.28683,16290.88,16358.101,2023-03-26 22:07:00,90.520004,521.95,46.289997,832.73,1717.554,15221.4795,15019.334,31512.36,31377.434
133,98.5,527.06,52.78,722.53,1232.9293,493.73267,16307.7705,16337.213,2023-03-26 22:17:00,90.5,520.43,45.5,831.91,1717.554,15236.52,14980.555,31544.29,31317.768
134,98.520004,525.94,52.95,722.81006,1232.9293,492.99588,16360.45,16410.676,2023-03-26 22:27:00,90.409996,520.55,45.37,835.08,1717.554,15149.819,15019.314,31510.27,31429.99
135,98.520004,526.22,52.899998,725.06006,1232.9293,493.5758,16283.461,16415.152,2023-03-26 22:37:00,90.46,521.60004,46.1,833.2,1717.554,15221.78,15035.123,31505.242,31450.275
136,98.5,526.5,53.95,722.25006,1232.9293,494.05597,16292.7295,16488.238,2023-03-26 22:47:00,90.57,522.19,45.84,832.97,1717.554,15174.96,14975.629,31467.69,31463.867
137,98.55,526.77997,52.219997,720.84,1232.9293,493.43784,16215.39,16398.312,2023-03-26 22:57:00,90.53,520.66,46.21,834.96,1717.554,15213.88,15019.37,31429.27,31417.684
138,98.579994,526.22,52.99,723.09,1232.9293,493.89386,16278.971,16411.332,2023-03-26 23:07:00,90.54,521.95,46.31,834.02,1717.554,15219.1,14985.7295,31498.07,31397.062
139,98.61,527.91,53.64,721.13,1232.9293,494.02753,16297.631,16353.857,2023-03-26 23:17:00,90.64001,520.55,45.38,832.73,1717.554,15170.96,15032.424,31468.59,31386.281
140,98.670006,527.33997,52.58,725.34,1232.9293,493.8784,16299.41,16378.608,2023-03-26 23:27:00,90.54,521.02,46.26,833.32,1717.554,15189.24,15025.718,31488.65,31404.326
141,98.64,526.5,53.71,722.81006,1232.9293,494.24792,16206.249,16430.756,2023-03-26 23:37:00,90.71,522.42,46.030003,834.38,1717.554,15176.43,14981.845,31382.68,31412.602
