Date,Timestamp,Bottom Hole Pressure,Tubing Pressure,Casing Pressure,Position,Line Pressure,Gas Meter Cumulative Total,Gas Meter Differential Pressure,Gas Meter Flow Rate,Gas Meter Static Pressure,Gas Meter Temperature,Gas Meter Today's Total,Gas Meter Yesterday's Total
04/01/23 2:47,1.68E+12,1300.93,796.76,85.78,52.29,590.39,3259256.01,340.99,16846.21,599.18,94.37,1659.21,15835.83
04/01/23 2:57,1.68E+12,1305.84,792.77,85.78,51.46,590.04,3259364.23,335.28,16694.43,598.54,94.52,1767.43,15835.83
04/01/23 3:07,1.68E+12,1312.74,791.25,85.78,51.89,588.63,3259473.78,329.9,16541.86,597.31,94.64,1876.98,15835.83
04/01/23 3:17,1.68E+12,1319.73,790.9,85.78,52.14,589.1,3259581.4,326.71,16464.91,597.54,94.7,1984.61,15835.83
04/01/23 3:27,1.68E+12,1323.27,987.3,91.41,51.71,958.24,3259642.25,42.29,7623.55,960.87,98.87,2045.46,15835.83
04/01/23 3:37,1.68E+12,1782.88,996.68,90.56,51.79,967.5,3259716.81,42.93,7708.38,970.77,100.45,2120.01,15835.83
04/01/23 3:47,1.68E+12,1778.19,996.33,90.28,52.3,965.86,3259767.59,44.64,7849.21,968.96,100.67,2170.8,15835.83
04/01/23 3:57,1.68E+12,1770.41,995.39,90.28,51.66,963.16,3259818.42,45.76,7935.49,966.46,100.74,2221.62,15835.83
04/01/23 4:07,1.68E+12,1765.65,801.33,85.78,52.15,590.16,3259924.97,345.87,16966.25,599.1,94.22,2328.18,15835.83
04/01/23 4:17,1.68E+12,1300.28,807.3,86.63,51.44,592.5,3260036.59,348.45,17065.35,601.52,94.17,2439.8,15835.83
04/01/23 4:27,1.68E+12,1295.79,801.33,86.63,51.81,587.81,3260145.44,347.93,16997.46,597.83,94.2,2548.65,15835.83
04/01/23 4:37,1.68E+12,1298.82,797.11,86.63,52.34,590.39,3260257.04,341.32,16803.74,599.29,94.53,2660.25,15835.83
04/01/23 4:47,1.68E+12,1307.57,789.61,86.91,52.04,588.05,3260419.4,331.59,16649.96,596.58,94.75,2822.6,15835.83
04/01/23 4:57,1.68E+12,1314.58,789.49,86.63,51.43,587.7,3260524.73,325.05,16403.64,596.19,94.74,2927.94,15835.83
04/01/23 5:07,1.68E+12,1325.92,790.08,86.63,52.32,587.23,3260630.6,324.6,16415.51,596.06,94.83,3033.8,15835.83
04/01/23 5:17,1.68E+12,1325.35,789.14,86.34,51.62,587.46,3260738.66,324.45,16362.93,595.92,94.75,3141.87,15835.83
04/01/23 5:27,1.68E+12,1327.77,788.2,86.34,52.1,586.88,3260844.32,323.67,16327.84,595.22,94.82,3247.53,15835.83
04/01/23 5:37,1.68E+12,1329.38,787.73,86.34,51.65,586.41,3260950.9,322.29,16316.74,594.82,94.75,3354.11,15835.83
04/01/23 5:47,1.68E+12,1329.88,787.85,86.06,52.34,586.05,3261055.17,323.33,16303.1,594.5,94.8,3458.38,15835.83
04/01/23 5:57,1.68E+12,1330.49,787.73,85.78,51.93,585.35,3261214,325.43,16344.78,594.03,94.74,3617.21,15835.83
04/01/23 6:07,1.68E+12,1328.53,787.38,85.78,52.36,585.82,3261320.72,323.33,16351.07,594.08,94.8,3723.93,15835.83
04/01/23 6:17,1.68E+12,1328.21,786.56,85.78,52.18,585.47,3261426.26,322.74,16363.05,593.87,94.96,3829.47,15835.83
04/01/23 6:27,1.68E+12,1327.63,785.74,85.78,52.36,585,3261531.61,321.91,16317.13,593.53,94.8,3934.82,15835.83
04/01/23 6:37,1.68E+12,1329.75,784.8,85.5,52.23,584.53,3261636.73,320.77,16252.43,593,94.81,4039.93,15835.83
04/01/23 6:47,1.68E+12,1332.74,780.12,85.22,52.09,582.77,3261740.07,316.54,16119.48,590.97,95.01,4143.28,15835.83
04/01/23 6:57,1.68E+12,1338.95,778.24,85.22,52.33,581.48,3261846.23,312.63,16042.73,589.91,94.99,4249.43,15835.83
04/01/23 7:07,1.68E+12,1342.54,778.71,84.66,51.46,582.07,3262000.91,313.19,16018.66,590.28,94.92,4404.12,15835.83
04/01/23 7:17,1.68E+12,1343.66,776.48,84.66,51.45,581.84,3262107.12,310.13,15939.35,590.26,95.01,4510.33,15835.83
04/01/23 7:37,1.68E+12,1347.39,776.6,84.66,52.35,581.02,3262311.46,308.8,15892.25,589.28,94.99,4714.67,15835.83
04/01/23 7:47,1.68E+12,1349.6,776.72,84.38,52.13,580.55,3262415.85,306.99,15840.05,588.83,94.97,4819.05,15835.83
04/01/23 7:57,1.68E+12,1352.06,777.07,84.38,51.42,580.78,3262516.14,306.95,15838.24,588.83,95.02,4919.35,15835.83
04/01/23 8:17,1.68E+12,1352.12,775.9,84.09,51.8,580.66,3262773.28,303.76,15754.84,588.82,95.12,5176.48,15835.83
04/01/23 8:27,1.68E+12,1356.07,776.6,84.09,51.66,581.02,3262876.49,306.25,15824.14,589.18,95.09,5279.69,15835.83
04/01/23 9:03,1.68E+12,1352.75,775.2,84.09,52.34,581.13,3263233.24,304.24,15774.31,589.24,95.05,5636.45,15835.83
04/01/23 9:07,1.68E+12,1355.1,773.44,84.09,51.82,580.66,,302.53,15720.92,588.65,95.12,5689.02,15835.83
04/01/23 9:13,1.68E+12,1357.63,777.66,84.09,51.99,581.37,3263388.73,306.03,15823.98,589.59,95.1,5791.93,15835.83
04/01/23 9:17,1.68E+12,1352.69,777.66,84.09,51.99,581.37,3263388.73,306.03,15823.98,589.59,95.1,5791.93,15835.83
04/01/23 9:27,1.68E+12,,776.13,83.81,52.04,582.66,,304.04,15786.01,590.62,95.19,6046.37,15835.83
04/01/23 9:37,1.68E+12,1354.46,776.13,83.81,52.04,582.66,3263643.17,304.04,15786.01,590.62,95.19,6046.37,15835.83
04/01/23 9:47,1.68E+12,1354.44,776.6,82.69,51.63,582.42,3263745.22,305.13,15814.71,590.5,95.04,6148.43,15835.83
04/01/23 9:57,1.68E+12,1353.05,776.48,84.09,51.61,582.54,3263849.37,303.62,15770.25,590.16,95.11,6252.58,15835.83
04/01/23 10:07,1.68E+12,1355.15,776.84,82.69,51.66,581.84,3263950.28,301.38,15701.7,589.46,95.17,6353.48,15835.83
04/01/23 10:17,1.68E+12,1358.4,775.66,84.09,52.32,581.84,3264053.32,302.87,15738.99,589.36,95.16,6456.53,15835.83
04/01/23 10:27,1.68E+12,1356.6,775.78,83.81,51.76,582.54,3264156.42,304.15,15784.81,590.16,95.05,6559.63,15835.83
04/01/23 10:37,1.68E+12,1354.39,776.25,84.09,51.51,582.3,3264307.68,304.94,15798.85,589.98,95.26,6710.89,15835.83
04/01/23 10:47,1.68E+12,1353.7,751.88,86.06,51.63,516.8,3264412.98,384.33,16703.39,526.49,94.18,6816.19,15835.83
04/01/23 10:57,1.68E+12,1311.4,766.52,83.53,52.19,571.99,3264515.15,307.09,15719.17,580.22,95.08,6918.35,15835.83
04/01/23 11:07,1.68E+12,1357.46,777.07,86.63,51.67,576.45,3264616.92,314.87,15973.96,584.09,94.85,7020.13,15835.83
04/01/23 11:17,1.68E+12,1345.32,770.04,82.97,51.53,572.93,3264721.29,315.11,15926.78,580.29,94.77,7124.49,15835.83
04/01/23 11:27,1.68E+12,1347.53,764.53,83.53,51.59,572.81,3264822.44,309.34,15775.91,580.19,95.06,7225.65,15835.83
04/01/23 11:37,1.68E+12,1354.68,773.67,83.53,51.41,572.46,3264925.72,313.76,15895.3,580.47,94.81,7328.92,15835.83
04/01/23 11:47,1.68E+12,1348.98,768.05,84.09,52.14,573.28,3265081.38,312.59,15861.03,580.31,94.95,7484.59,15835.83
04/01/23 11:57,1.68E+12,1350.59,772.73,83.53,51.45,570.82,3265182.65,313.19,15867.46,579.43,94.73,7585.85,15835.83
04/01/23 12:07,1.68E+12,1350.26,771.33,83.53,52.05,574.45,3265299.54,312.67,15889.2,582.08,94.9,7702.75,15835.83
04/01/23 12:17,1.68E+12,1349.21,772.15,84.09,52.34,573.16,3265389.8,313.48,15911.7,582.3,94.96,7793.01,15835.83
04/01/23 12:27,1.68E+12,1348.12,773.91,83.81,51.52,575.27,3265492.19,312.19,15885.12,582.87,95.09,7895.39,15835.83
04/01/23 12:37,1.68E+12,1349.36,773.32,83.81,51.63,574.92,3265594.65,309.88,15824.09,582.62,95.06,7997.86,15835.83
04/01/23 12:47,1.68E+12,1352.24,771.33,83.81,51.42,574.57,3265695.76,310.81,15841.5,582.18,95.02,8098.97,15835.83
04/01/23 12:57,1.68E+12,1351.39,772.73,84.09,51.95,575.39,3265849.96,311.88,15884.26,583.21,94.97,8253.17,15835.83
04/01/23 13:07,1.68E+12,1349.33,771.09,83.81,52.27,573.98,3265953.46,310.44,15827.15,581.62,94.88,8356.67,15835.83
04/01/23 13:17,1.68E+12,1352.03,770.27,85.5,51.91,574.45,3266056.86,310.57,15835.48,582.09,94.97,8460.07,15835.83
04/01/23 13:27,1.68E+12,1351.61,769.8,83.53,51.68,573.52,3266157.99,312.54,15879.27,581.67,94.94,8561.2,15835.83
04/01/23 13:37,1.68E+12,1349.51,771.56,84.66,51.45,574.57,3266263.35,310.91,15831.19,582.39,94.95,8666.56,15835.83
04/01/23 13:47,1.68E+12,1351.77,770.98,82.69,51.45,574.34,3266365.75,312.53,15885.07,582.16,95,8768.96,15835.83
04/01/23 13:57,1.68E+12,1349.19,770.98,84.09,51.47,575.74,3266467.9,308.79,15806.87,583.14,94.88,8871.11,15835.83
04/01/23 14:07,1.68E+12,1352.88,770.74,83.53,51.65,574.57,3266621.74,308.31,15787.53,582.79,95.02,9024.95,15835.83
04/01/23 14:17,1.68E+12,1353.79,770.98,84.09,52.3,574.57,3266722.72,308.56,15791.75,582.63,95.01,9125.93,15835.83
04/01/23 14:27,1.68E+12,1353.56,952.97,89.16,52.29,919.34,3266812.24,49.63,8082.25,920.41,97.64,9215.45,15835.83
04/01/23 14:37,1.68E+12,1756.53,967.73,89.16,80.15,952.85,3266870.21,57.38,8788.29,955.8,100.8,9273.42,15835.83
04/01/23 14:47,1.68E+12,1717.73,971.13,89.16,80.12,956.48,3266924.56,54.63,8627.34,959.67,101.5,9327.77,15835.83
04/01/23 14:57,1.68E+12,1726.54,971.25,89.44,79.53,955.66,3266980.78,56.92,8801.54,959.09,101.65,9383.99,15835.83
04/01/23 15:07,1.68E+12,1716.99,971.48,89.72,79.76,955.55,3267037.97,58.3,8905.11,958.99,101.81,9441.18,15835.83
04/01/23 15:17,1.68E+12,1711.31,972.54,90,80.1,956.84,3267125.45,61.09,9118.81,960.19,102.01,9528.66,15835.83
04/01/23 15:27,1.68E+12,1699.61,977.7,91.13,69.67,959.53,3267183.24,58.46,8933.69,962.86,102.01,9586.45,15835.83
04/01/23 15:37,1.68E+12,1709.72,990.35,89.72,52.4,957.77,3267238.29,48.62,8142.53,960.99,101.85,9641.5,15835.83
04/01/23 15:47,1.68E+12,1753.14,991.64,91.41,51.96,958.59,3267291.18,49.19,8196.5,961.69,101.59,9694.39,15835.83
04/01/23 15:57,1.68E+12,1750.16,992.46,91.13,52.37,958.83,3267345.04,51.09,8299.72,961.97,101.39,9748.24,15835.83
04/01/23 16:07,1.68E+12,1744.47,992.11,91.13,52.42,957.66,3267398.51,52.41,8456.86,960.73,101.37,9801.72,15835.83
04/01/23 16:17,1.68E+12,1735.83,992.7,91.41,52.42,958.48,3267452.43,52.69,8432.75,961.36,101.31,9855.64,15835.83
04/01/23 16:27,1.68E+12,1737.14,995.51,91.97,51.47,961.41,3267535.15,51.86,8430.66,964.49,101.38,9938.35,15835.83
04/01/23 16:37,1.68E+12,1737.25,996.45,91.97,52.07,962.34,3267590.83,52.47,8503.65,965.23,101.42,9994.04,15835.83
04/01/23 16:47,1.68E+12,1733.23,997.15,92.25,52.33,962.7,3267645.54,52.53,8426.84,965.93,101.36,10048.75,15835.83
04/01/23 16:57,1.68E+12,1737.44,997.85,91.69,51.98,963.28,3267699.79,52.48,8585.64,966.52,101.23,10103,15835.83
04/01/23 17:07,1.68E+12,1728.71,998.55,92.25,51.5,963.52,3267756.28,53.66,8540.04,966.77,101.34,10159.48,15835.83
04/01/23 17:17,1.68E+12,1731.2,999.14,92.53,51.48,963.52,3267812.41,54.11,8590.32,966.87,101.3,10215.61,15835.83
04/01/23 17:27,1.68E+12,1728.43,999.38,92.53,52.16,963.4,3267867.59,54.55,8670.07,967.02,101.25,10270.8,15835.83
04/01/23 17:37,1.68E+12,1724.05,999.96,92.81,51.61,963.75,3267951.52,55.27,8723.71,967.09,101.32,10354.72,15835.83
04/01/23 17:47,1.68E+12,1721.1,1000.43,93.38,51.7,963.52,3268009.25,55.84,8768.41,967.1,101.22,10412.45,15835.83
04/01/23 17:57,1.68E+12,1718.64,1001.48,93.66,51.48,964.57,3268065.94,55.19,8761.75,968.02,101.12,10469.14,15835.83
04/01/23 18:07,1.68E+12,1719,1002.89,93.38,52.43,966.45,3268122.49,54.48,8767.78,969.73,101.16,10525.7,15835.83
04/01/23 18:17,1.68E+12,1718.66,1003.95,93.94,52.06,967.62,3268178.99,55.7,8769.94,971.12,101.17,10582.2,15835.83
04/01/23 18:27,1.68E+12,1718.53,1004.88,93.66,51.73,968.79,3268235.13,54.95,8773.79,971.98,101.23,10638.34,15835.83
04/01/23 18:37,1.68E+12,1718.31,1005.59,94.22,52.07,969.38,3268291.7,55.23,8740.52,972.69,101.19,10694.91,15835.83
04/01/23 18:47,1.68E+12,1720.12,1006.76,94.22,51.67,970.2,3268377.29,55.82,8791.52,973.52,101.17,10780.5,15835.83
04/01/23 18:57,1.68E+12,1717.32,1007.11,94.22,52.4,970.43,3268434.52,55.75,8788.09,973.98,101.14,10837.73,15835.83
04/01/23 19:07,1.68E+12,1717.49,1007.81,94.78,51.79,970.78,3268491.89,55.77,8791.95,974.34,101.14,10895.09,15835.83
04/01/23 19:17,1.68E+12,1717.27,1008.28,94.78,51.65,971.13,3268548.76,55.85,8799.1,974.68,101.15,10951.97,15835.83
04/01/23 19:27,1.68E+12,1716.87,1008.63,95.06,51.57,971.72,3268605.79,55.65,8785.79,975.06,101.14,11008.99,15835.83
04/01/23 19:37,1.68E+12,1717.59,1009.22,95.06,51.75,971.84,3268663.53,56.2,8829.57,975.43,101.2,11066.73,15835.83
04/01/23 19:47,1.68E+12,1715.18,1009.69,95.06,51.88,971.95,3268720.81,57.17,8906.3,975.63,101.22,11124.01,15835.83
04/01/23 19:57,1.68E+12,1710.97,1010.16,95.34,52.04,972.3,3268806.18,57.14,8905.59,975.83,101.16,11209.39,15835.83
04/01/23 20:07,1.68E+12,1711,1010.39,95.34,52.37,972.19,3268865.73,57.89,8963.88,975.84,101.15,11268.94,15835.83
04/01/23 20:17,1.68E+12,1707.8,1010.74,95.91,51.71,972.19,3268923.19,58.47,9008.44,975.83,101.19,11326.4,15835.83
04/01/23 20:27,1.68E+12,1705.36,1011.09,95.91,52.21,972.42,3268981.33,59.1,9057.11,975.99,101.2,11384.54,15835.83
04/01/23 20:37,1.68E+12,1702.68,1011.33,95.63,52.1,972.54,3269039.67,58.96,9047.01,976.2,101.24,11442.88,15835.83
04/01/23 20:47,1.68E+12,1703.23,1011.68,95.91,52.3,972.66,3269098.15,59.26,9070.18,976.27,101.23,11501.35,15835.83
04/01/23 20:57,1.68E+12,1701.95,1012.03,96.19,52.08,972.89,3269157.82,59.25,9108.81,976.34,101.21,11561.02,15835.83
04/01/23 21:07,1.68E+12,1699.83,1012.27,96.19,52.43,972.77,3269246.55,60.08,9133.57,976.4,101.21,11649.76,15835.83
04/01/23 21:17,1.68E+12,1698.47,1012.27,96.47,52.04,972.77,3269304.95,60.82,9188,976.18,101.22,11708.15,15835.83
04/01/23 21:27,1.68E+12,1695.48,1012.73,96.47,51.61,972.77,3269364.76,61.33,9227,976.38,101.25,11767.97,15835.83
04/01/23 21:37,1.68E+12,1693.35,1012.62,96.47,52.26,972.66,3269423.46,61.05,9206.79,976.4,101.22,11826.67,15835.83
04/01/23 21:47,1.68E+12,1694.44,1012.85,97.03,51.49,972.66,3269484.77,60.71,9180.46,976.46,101.27,11887.98,15835.83
04/01/23 21:57,1.68E+12,1695.87,1013.32,96.75,51.92,972.77,3269543.89,61.51,9240.74,976.37,101.23,11947.1,15835.83
04/01/23 22:07,1.68E+12,1692.57,1013.55,97.31,51.93,972.77,3269603.03,61.83,9264.23,976.42,101.31,12006.23,15835.83
04/01/23 22:17,1.68E+12,1691.27,1013.91,97.59,51.6,973.01,3269693.86,61.91,9271.86,976.58,101.2,12097.07,15835.83
04/01/23 22:27,1.68E+12,1690.85,1013.91,97.31,51.79,972.89,3269754.6,61.67,9252.03,976.51,101.34,12157.81,15835.83
04/01/23 22:37,1.68E+12,1691.92,1014.14,97.31,52.33,972.89,3269814.17,62.35,9303.83,976.7,101.34,12217.38,15835.83
04/01/23 22:47,1.68E+12,1689.08,1014.26,97.59,52.13,973.01,3269874.53,62.94,9347.76,976.77,101.33,12277.74,15835.83
04/01/23 22:57,1.68E+12,1686.68,1014.49,97.59,52.43,973.13,3269936.79,62.95,9348.65,976.89,101.38,12340,15835.83
04/01/23 23:07,1.68E+12,1686.62,1014.84,97.88,52.36,973.13,3269996.78,62.76,9335.58,976.97,101.32,12399.99,15835.83
04/01/23 23:17,1.68E+12,1687.32,1014.61,98.16,51.85,972.77,3270056.85,64.36,9451.25,976.52,101.36,12460.05,15835.83
04/01/23 23:27,1.68E+12,1681.01,1014.73,97.88,51.5,972.42,3270149.81,64.76,9479.78,976.32,101.33,12553.02,15835.83
04/01/23 23:37,1.68E+12,1679.44,1014.96,98.16,52.41,972.77,3270210.84,64.01,9424.8,976.52,101.42,12614.05,15835.83
04/01/23 23:47,1.68E+12,1682.43,1015.2,98.16,51.84,972.89,3270271.25,64.62,9469.38,976.64,101.47,12674.45,15835.83
04/01/23 23:57,1.68E+12,1679.99,1015.55,98.44,51.88,973.01,3270333.05,64.63,9471.74,976.94,101.43,12736.26,15835.83
04/02/23 0:07,1.68E+12,1679.85,1015.66,98.44,52.3,973.36,3270365.19,64.86,9489.45,977.1,101.42,32.14,12766.52
04/02/23 0:17,1.68E+12,1678.87,1016.02,98.44,52.35,973.36,3270425.22,64.59,9471.19,977.16,101.37,92.17,12766.52
04/02/23 0:27,1.68E+12,1679.86,1011.33,98.44,51.95,965.04,3270488.29,71.32,9906.35,969.06,101.38,155.24,12766.52
04/02/23 0:37,1.68E+12,1656.21,1008.05,98.44,51.87,959.18,3270585.56,75.43,10154.77,963.23,101.33,252.51,12766.52
04/02/23 0:47,1.68E+12,1642.75,1008.28,99,51.52,959.3,3270651.79,75.96,10189.98,963.32,101.38,318.74,12766.52
04/02/23 0:57,1.68E+12,1640.84,1008.4,99.28,51.63,959.18,3270718.16,75.81,10179.27,963.21,101.39,385.11,12766.52
04/02/23 1:07,1.68E+12,1641.4,1008.4,99,52.15,958.71,3270783.26,76.14,10198.91,962.79,101.38,450.21,12766.52
04/02/23 1:17,1.68E+12,1640.33,1008.4,99.56,51.82,958.36,3270849.94,75.61,10159.67,962.29,101.46,516.89,12766.52
04/02/23 1:27,1.68E+12,1642.44,1007.93,99.56,51.49,958.01,3270916.79,77.68,10294.02,961.86,101.51,583.74,12766.52
04/02/23 1:37,1.68E+12,1635.17,1007.93,99.84,51.73,957.54,3270982.42,77.18,10260.48,961.56,101.45,649.37,12766.52
04/02/23 1:47,1.68E+12,1636.97,1007.93,99.84,51.52,957.42,3271049.62,77.67,10291.44,961.27,101.43,716.57,12766.52
04/02/23 1:57,1.68E+12,1635.29,1005.12,99.84,52.42,952.97,3271150.23,81.86,10537.01,956.61,101.43,817.17,12766.52
04/02/23 2:07,1.68E+12,1622.04,1007.34,100.13,52.32,955.9,3271216.72,79.33,10391.64,959.92,101.48,883.67,12766.52
04/02/23 2:17,1.68E+12,1629.86,1007.58,100.41,52.3,956.02,3271284.67,79.86,10426.52,959.92,101.45,951.62,12766.52
04/02/23 2:27,1.68E+12,1626.46,1007.7,100.69,51.49,955.9,3271351.97,80.28,10454.32,960,101.46,1018.92,12766.52
04/02/23 2:37,1.68E+12,1626.46,1007.81,100.41,52.42,955.9,3271420.78,79.81,10422.27,959.89,101.5,1087.73,12766.52
04/02/23 2:47,1.68E+12,1628.17,1007.81,100.69,51.58,955.9,3271488.24,80.82,10486.51,959.83,101.61,1155.18,12766.52
04/02/23 2:57,1.68E+12,1624.7,1008.16,100.69,52.06,955.9,3271588.48,79.95,10430.65,959.91,101.6,1255.42,12766.52
04/02/23 3:07,1.68E+12,1627.7,1008.4,100.69,51.98,956.02,3271658.29,80.59,10474.96,960.21,101.5,1325.24,12766.52
04/02/23 3:17,1.68E+12,1625.82,1008.52,100.97,52.05,956.25,3271725.23,80.3,10485.53,960.31,101.59,1392.18,12766.52
04/02/23 3:27,1.68E+12,1625.24,1008.98,101.25,51.89,956.48,3271792.97,80.25,10452.86,960.47,101.61,1459.92,12766.52
04/02/23 3:37,1.68E+12,1626.98,1009.22,101.25,52.38,956.48,3271860.82,80.33,10459.76,960.62,101.56,1527.77,12766.52
04/02/23 3:47,1.68E+12,1626.6,1009.45,100.97,51.57,956.6,3271929.52,81.63,10544.9,960.8,101.55,1596.47,12766.52
04/02/23 3:57,1.68E+12,1622,1009.92,100.97,51.84,956.84,3271997.66,81.97,10575.13,960.87,101.56,1664.61,12766.52
04/02/23 4:07,1.68E+12,1620.37,1010.51,101.25,52.16,957.07,3272065.99,81.74,10642.21,961.18,101.55,1732.93,12766.52
04/02/23 4:17,1.68E+12,1616.75,1011.45,101.53,52.28,957.54,3272170.06,83.13,10671.92,961.63,101.62,1837,12766.52
04/02/23 4:27,1.68E+12,1615.14,1011.8,101.81,52.02,957.54,3272238.99,83.89,10719.57,961.78,101.58,1905.94,12766.52
04/02/23 4:37,1.68E+12,1612.57,1012.27,101.81,51.5,958.01,3272308.09,84.42,10697.66,962.08,101.64,1975.04,12766.52
04/02/23 4:47,1.68E+12,1613.73,1012.73,101.81,51.64,958.13,3272378.88,84.5,10735.46,962.25,101.63,2045.83,12766.52
04/02/23 4:57,1.68E+12,1611.69,1013.32,102.09,51.99,958.24,3272446.86,85.21,10777.48,962.35,101.7,2113.81,12766.52
04/02/23 5:07,1.68E+12,1609.43,1013.67,102.09,51.77,958.48,3272516.53,85.71,10741,962.65,101.62,2183.47,12766.52
04/02/23 5:17,1.68E+12,1611.37,1014.49,102.38,51.88,958.71,3272622.45,86.32,10907.66,962.86,101.74,2289.4,12766.52
04/02/23 5:27,1.68E+12,1602.42,1014.73,102.38,51.71,958.83,3272692.49,86.08,10862.61,963.13,101.61,2359.44,12766.52
04/02/23 5:37,1.68E+12,1604.82,1014.96,102.66,52.35,958.95,3272762.77,86.57,10870.43,963.14,101.69,2429.72,12766.52
04/02/23 5:47,1.68E+12,1604.39,1015.08,102.66,52.29,959.06,3272834.47,86.73,10881.4,963.2,101.64,2501.41,12766.52
04/02/23 5:57,1.68E+12,1603.79,1020.47,102.66,52.32,969.26,3272905.05,78.77,10429.55,973.64,101.82,2571.99,12766.52
04/02/23 6:07,1.68E+12,1628.05,1034.3,103.22,52.26,992.23,3272967.68,64.56,9557.52,995.84,102.02,2634.63,12766.52
04/02/23 6:17,1.68E+12,1675.25,1037.11,102.94,52.27,995.74,3273029.33,63.07,9471.17,999.68,102.11,2696.28,12766.52
04/02/23 6:27,1.68E+12,1679.94,1037.34,102.94,52.35,995.63,3273091.36,62.85,9448.7,999.49,102.05,2758.3,12766.52
04/02/23 6:37,1.68E+12,1681.15,1023.63,102.38,51.5,971.72,3273188.31,79.35,10481.47,976.08,101.83,2855.26,12766.52
04/02/23 6:47,1.68E+12,1625.21,1020.82,102.38,52.18,966.91,3273256.95,83.18,10703.4,971.14,101.69,2923.9,12766.52
04/02/23 6:57,1.68E+12,1613.27,1020.12,102.66,52.19,965.16,3273327.2,84.53,10777.85,969.48,101.82,2994.15,12766.52
04/02/23 7:07,1.68E+12,1609.26,1020.59,102.94,52.41,965.86,3273398.25,84.96,10808.68,970.15,101.86,3065.2,12766.52
04/02/23 7:17,1.68E+12,1607.59,1021.52,103.22,52.4,966.91,3273467.17,83.83,10743.89,971.4,101.89,3134.11,12766.52
04/02/23 7:27,1.68E+12,1611.06,1022.46,103.22,51.51,968.44,3273536.48,83.03,10701.25,972.91,101.93,3203.43,12766.52
04/02/23 7:37,1.68E+12,1613.33,1023.4,103.5,52.09,970.08,3273606.26,82.82,10697.54,974.54,101.89,3273.21,12766.52
04/02/23 7:47,1.68E+12,1613.52,1024.57,103.5,52.38,971.48,3273709.85,82.52,10684.47,975.78,101.97,3376.8,12766.52
04/02/23 7:57,1.68E+12,1614.21,1025.27,103.78,51.8,972.66,3273779.19,79.96,10525.26,977.03,101.97,3446.14,12766.52
04/02/23 8:07,1.68E+12,1622.75,1025.74,103.78,52.41,973.48,3273847.61,80.82,10584.45,977.66,102,3514.56,12766.52
04/02/23 8:17,1.68E+12,1619.56,1025.98,103.78,51.7,973.95,3273915.23,80.74,10579.9,978.07,102.17,3582.18,12766.52
04/02/23 8:27,1.68E+12,1619.79,1026.33,104.06,51.5,974.18,3273983.57,81.22,10612.19,978.12,102.07,3650.52,12766.52
04/02/23 8:37,1.68E+12,1618.04,1026.09,104.06,52.35,973.71,3274052,80.48,10563.26,978.08,102.15,3718.95,12766.52
